self.yaw: 0.15087074041366577
self.home: array('f', [-1.9287900924682617, -1.010053038597107, -3.4827675819396973])
edge case - count_goal : 504,   delta_t_goal : 37,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.28177142  -1.12867606 -13.38698864]
edge case - count_goal : 504,   delta_t_goal : 38,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.27906322  -1.1332562  -13.37993622]
edge case - count_goal : 504,   delta_t_goal : 39,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.27630997  -1.13770092 -13.37205982]
edge case - count_goal : 504,   delta_t_goal : 40,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.27355313  -1.14188373 -13.36404514]
edge case - count_goal : 504,   delta_t_goal : 41,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.27073669  -1.14576006 -13.35600281]
edge case - count_goal : 504,   delta_t_goal : 42,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.26789689  -1.14928293 -13.34783649]
edge case - count_goal : 504,   delta_t_goal : 43,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.26789689  -1.14928293 -13.34783649]
edge case - count_goal : 504,   delta_t_goal : 44,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.25937915  -1.15850627 -13.32135296]
edge case - count_goal : 504,   delta_t_goal : 45,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.256598    -1.16080499 -13.31243801]
edge case - count_goal : 504,   delta_t_goal : 46,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.25384164  -1.16283035 -13.30270672]
edge case - count_goal : 504,   delta_t_goal : 47,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.25263214  -1.16372657 -13.29796982]
edge case - count_goal : 504,   delta_t_goal : 48,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.24905372  -1.16577208 -13.28372955]
edge case - count_goal : 504,   delta_t_goal : 49,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.2467351   -1.16655564 -13.27406025]
edge case - count_goal : 504,   delta_t_goal : 50,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.2444582   -1.16705728 -13.26360416]
edge case - count_goal : 504,   delta_t_goal : 51,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.24228787  -1.16709852 -13.25319386]
edge case - count_goal : 504,   delta_t_goal : 52,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.24010301  -1.16692483 -13.24301624]
edge case - count_goal : 504,   delta_t_goal : 53,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.23796797  -1.16653633 -13.23301506]
edge case - count_goal : 504,   delta_t_goal : 54,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.23588324  -1.16586411 -13.2222414 ]
edge case - count_goal : 504,   delta_t_goal : 55,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.23393512  -1.16475129 -13.21153736]
edge case - count_goal : 504,   delta_t_goal : 56,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.23298764  -1.16401243 -13.20615864]
edge case - count_goal : 504,   delta_t_goal : 57,   xf_goal : [-1.4344698  -0.93490352 -3.48276758],   vehicle_position : [ -2.22653246  -1.15587842 -13.16263676]
apriltag bezier - count : 499,   delta_t : 1,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.22580242  -1.15451753 -13.1570816 ]
apriltag bezier - count : 499,   delta_t : 2,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.22510123  -1.15304315 -13.15160084]
apriltag bezier - count : 499,   delta_t : 3,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.2208302  -1.1432246 -13.1174469]
apriltag bezier - count : 499,   delta_t : 4,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.21946955  -1.1394968  -13.1063385 ]
