self.yaw: 0.06957875937223434
self.home: array('f', [-0.5570361614227295, -0.28405115008354187, -5.2074360847473145])
shift: [0.49879019 0.03476132 0.        ]
edge case - count_goal : 503,   delta_t_goal : 1,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96003193  -0.3206096  -15.24253368]
edge case - count_goal : 503,   delta_t_goal : 2,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.9615581   -0.32046467 -15.24224281]
edge case - count_goal : 503,   delta_t_goal : 3,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.9615581   -0.32046467 -15.24224281]
edge case - count_goal : 503,   delta_t_goal : 4,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96184087  -0.3202773  -15.24262524]
edge case - count_goal : 503,   delta_t_goal : 5,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96254712  -0.31942227 -15.24230194]
edge case - count_goal : 503,   delta_t_goal : 6,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.9627766   -0.31897503 -15.24247837]
edge case - count_goal : 503,   delta_t_goal : 7,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96299142  -0.31841052 -15.2424736 ]
edge case - count_goal : 503,   delta_t_goal : 8,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96325845  -0.3179324  -15.24214745]
edge case - count_goal : 503,   delta_t_goal : 9,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96451396  -0.31548202 -15.24043846]
edge case - count_goal : 503,   delta_t_goal : 10,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96474344  -0.31492108 -15.24007225]
edge case - count_goal : 503,   delta_t_goal : 11,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96557409  -0.31244758 -15.23649693]
edge case - count_goal : 503,   delta_t_goal : 12,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96627557  -0.30859044 -15.23102188]
edge case - count_goal : 503,   delta_t_goal : 13,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96627557  -0.30859044 -15.23102188]
edge case - count_goal : 503,   delta_t_goal : 14,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96663928  -0.30616748 -15.22566891]
edge case - count_goal : 503,   delta_t_goal : 15,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96663928  -0.30616748 -15.22566891]
edge case - count_goal : 503,   delta_t_goal : 16,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96688873  -0.30357572 -15.22012806]
edge case - count_goal : 503,   delta_t_goal : 17,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96699506  -0.30159754 -15.21614742]
edge case - count_goal : 503,   delta_t_goal : 18,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96707332  -0.29962081 -15.21107769]
edge case - count_goal : 503,   delta_t_goal : 19,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96711636  -0.29769146 -15.20601368]
edge case - count_goal : 503,   delta_t_goal : 20,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96703899  -0.29467639 -15.1983633 ]
edge case - count_goal : 503,   delta_t_goal : 21,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96719062  -0.29356223 -15.1955471 ]
edge case - count_goal : 503,   delta_t_goal : 22,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96747476  -0.29139489 -15.18920135]
edge case - count_goal : 503,   delta_t_goal : 23,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.9676829   -0.28930882 -15.18293667]
edge case - count_goal : 503,   delta_t_goal : 24,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96774685  -0.28822798 -15.17980099]
edge case - count_goal : 503,   delta_t_goal : 25,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96774864  -0.28402245 -15.16652966]
edge case - count_goal : 503,   delta_t_goal : 26,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96780741  -0.28291732 -15.16276073]
edge case - count_goal : 503,   delta_t_goal : 27,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96785772  -0.28079733 -15.1554451 ]
edge case - count_goal : 503,   delta_t_goal : 28,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96771061  -0.27765271 -15.14462852]
edge case - count_goal : 503,   delta_t_goal : 29,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.9676286   -0.27660042 -15.14086628]
edge case - count_goal : 503,   delta_t_goal : 30,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96731353  -0.27361178 -15.12871742]
edge case - count_goal : 503,   delta_t_goal : 31,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96717387  -0.27180484 -15.12091255]
edge case - count_goal : 503,   delta_t_goal : 32,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96717387  -0.27180484 -15.12091255]
edge case - count_goal : 503,   delta_t_goal : 33,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96679342  -0.2691828  -15.10934353]
edge case - count_goal : 503,   delta_t_goal : 34,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96649396  -0.26752889 -15.10076427]
edge case - count_goal : 503,   delta_t_goal : 35,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96616304  -0.26602581 -15.09238529]
edge case - count_goal : 503,   delta_t_goal : 36,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96545118  -0.26374444 -15.08028126]
edge case - count_goal : 503,   delta_t_goal : 37,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96545118  -0.26374444 -15.08028126]
edge case - count_goal : 503,   delta_t_goal : 38,   xf_goal : [-0.05824597 -0.24928983 -5.20743608],   vehicle_position : [ -0.96466875  -0.26154712 -15.06717014]
