self.yaw: 0.27863264083862305
self.home: array('f', [-3.524808406829834, 0.3517938554286957, -6.7089409828186035])
shift: [0.48071621 0.13752064 0.        ]
edge case - count_goal : 500,   delta_t_goal : 1,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97393131   0.26822063 -16.67205048]
edge case - count_goal : 500,   delta_t_goal : 2,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97524548   0.27231798 -16.67295837]
edge case - count_goal : 500,   delta_t_goal : 3,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97595906   0.27491087 -16.67375946]
edge case - count_goal : 500,   delta_t_goal : 4,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97595906   0.27491087 -16.67375946]
edge case - count_goal : 500,   delta_t_goal : 5,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97705674   0.2786738  -16.67419815]
edge case - count_goal : 500,   delta_t_goal : 6,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97809935   0.28208923 -16.67517281]
edge case - count_goal : 500,   delta_t_goal : 7,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97821426   0.28326511 -16.6754303 ]
edge case - count_goal : 500,   delta_t_goal : 8,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97849679   0.28560686 -16.67574692]
edge case - count_goal : 500,   delta_t_goal : 9,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97882104   0.28778976 -16.67539978]
edge case - count_goal : 500,   delta_t_goal : 10,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97914505   0.28977814 -16.67521095]
edge case - count_goal : 500,   delta_t_goal : 11,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97960663   0.29256925 -16.67492294]
edge case - count_goal : 500,   delta_t_goal : 12,   xf_goal : [-3.0440922   0.4893145  -6.70894098],   vehicle_position : [ -3.97974396   0.29441223 -16.67327499]
