self.yaw: -0.4148819148540497
self.home: array('f', [-0.323825865983963, -1.5689815282821655, -0.2320326268672943])
edge case - count_goal : 503,   delta_t_goal : 37,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.89005601  -1.47075665 -10.06825542]
edge case - count_goal : 503,   delta_t_goal : 38,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.89000273  -1.4703939  -10.06411457]
edge case - count_goal : 503,   delta_t_goal : 39,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.88937062  -1.46881294 -10.05237293]
edge case - count_goal : 503,   delta_t_goal : 40,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.88937062  -1.46881294 -10.05237293]
edge case - count_goal : 503,   delta_t_goal : 41,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.88769782  -1.4661715  -10.03261471]
edge case - count_goal : 503,   delta_t_goal : 42,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.88646674  -1.46443534 -10.01995182]
edge case - count_goal : 503,   delta_t_goal : 43,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.8861016   -1.46382451 -10.01199341]
edge case - count_goal : 503,   delta_t_goal : 44,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [ -0.8861016   -1.46382451 -10.01199341]
edge case - count_goal : 503,   delta_t_goal : 45,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88535142 -1.4626416  -9.99952602]
edge case - count_goal : 503,   delta_t_goal : 46,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88474309 -1.46177089 -9.99082279]
edge case - count_goal : 503,   delta_t_goal : 47,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88379222 -1.46081436 -9.97763252]
edge case - count_goal : 503,   delta_t_goal : 48,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88335198 -1.46066582 -9.96935558]
edge case - count_goal : 503,   delta_t_goal : 49,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88308787 -1.460536   -9.96491146]
edge case - count_goal : 503,   delta_t_goal : 50,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.8825177  -1.46027172 -9.9560709 ]
edge case - count_goal : 503,   delta_t_goal : 51,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88191628 -1.46018445 -9.94711399]
edge case - count_goal : 503,   delta_t_goal : 52,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88126719 -1.46011746 -9.93812656]
edge case - count_goal : 503,   delta_t_goal : 53,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88007557 -1.46035039 -9.9197588 ]
edge case - count_goal : 503,   delta_t_goal : 54,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.88007557 -1.46035039 -9.9197588 ]
edge case - count_goal : 503,   delta_t_goal : 55,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87948394 -1.46073866 -9.91050529]
edge case - count_goal : 503,   delta_t_goal : 56,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.87882775 -1.46111953 -9.90124035]
edge case - count_goal : 503,   delta_t_goal : 57,   xf_goal : [ 0.1337561  -1.77052246 -0.23203263],   vehicle_position : [-0.878034   -1.46128345 -9.89132118]
