self.yaw: 1.8846917152404785
self.home: array('f', [0.8824641108512878, 0.45441657304763794, -1.7762417793273926])
apriltag bezier - count : 741,   delta_t : 6,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.94349784   0.11898909 -11.2979393 ]
apriltag bezier - count : 741,   delta_t : 7,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.94100106   0.11539687 -11.29226875]
apriltag bezier - count : 741,   delta_t : 8,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.94053596   0.11464764 -11.29093838]
apriltag bezier - count : 741,   delta_t : 9,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93924165   0.11245079 -11.28643322]
apriltag bezier - count : 741,   delta_t : 10,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93741608   0.11038055 -11.28091908]
apriltag bezier - count : 741,   delta_t : 11,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93598497   0.10828505 -11.27476883]
apriltag bezier - count : 741,   delta_t : 12,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93519908   0.10689261 -11.27040577]
apriltag bezier - count : 741,   delta_t : 13,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93472731   0.10615369 -11.26806259]
apriltag bezier - count : 741,   delta_t : 14,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93326187   0.10390991 -11.26026249]
apriltag bezier - count : 741,   delta_t : 15,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93241143   0.1024878  -11.25487709]
apriltag bezier - count : 741,   delta_t : 16,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93241143   0.1024878  -11.25487709]
apriltag bezier - count : 741,   delta_t : 17,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93123609   0.09894966 -11.23953533]
apriltag bezier - count : 741,   delta_t : 18,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.93028229   0.09607027 -11.22582722]
apriltag bezier - count : 741,   delta_t : 19,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.92995656   0.09481135 -11.2182045 ]
apriltag bezier - count : 741,   delta_t : 20,   xf : [0.1505992  0.37774404 3.47349215],   vehicle_position : [  0.92913038   0.09213321 -11.20197773]
