self.yaw: -0.581749677658081
self.home: array('f', [0.5321373343467712, -0.35414108633995056, -2.5663838386535645])
apriltag bezier - count : 618,   delta_t : 1,   xf : [ 0.01911023 -1.19338238  0.49727514],   vehicle_position : [-6.48592040e-03 -1.00216120e-01 -1.17120934e+01]
apriltag bezier - count : 615,   delta_t : 2,   xf : [-0.11836857 -1.08472216  0.56772846],   vehicle_position : [ 1.08613977e-02 -1.25807002e-01 -1.15411673e+01]
apriltag bezier - count : 608,   delta_t : 1,   xf : [-0.1872952  -1.69681406  0.52688932],   vehicle_position : [  0.02252804  -0.12617432 -11.47216988]
apriltag bezier - count : 608,   delta_t : 1,   xf : [-0.1872952  -1.69681406  0.52688932],   vehicle_position : [  0.0238921   -0.12595858 -11.46534634]
apriltag bezier - count : 608,   delta_t : 2,   xf : [-0.1872952  -1.69681406  0.52688932],   vehicle_position : [  0.02533184  -0.12590909 -11.45907879]
apriltag bezier - count : 608,   delta_t : 3,   xf : [-0.1872952  -1.69681406  0.52688932],   vehicle_position : [  0.02972444  -0.12582619 -11.4440155 ]
apriltag bezier - count : 608,   delta_t : 4,   xf : [-0.1872952  -1.69681406  0.52688932],   vehicle_position : [  0.0307751   -0.12574901 -11.44110298]
apriltag bezier - count : 608,   delta_t : 5,   xf : [-0.1872952  -1.69681406  0.52688932],   vehicle_position : [  0.03394711  -0.12582314 -11.43235302]
apriltag bezier - count : 601,   delta_t : 6,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.04756374  -0.12509029 -11.39187336]
apriltag bezier - count : 601,   delta_t : 1,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0498537   -0.12488222 -11.3839941 ]
apriltag bezier - count : 601,   delta_t : 2,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.05099587  -0.12479869 -11.3798418 ]
apriltag bezier - count : 601,   delta_t : 3,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.05658189  -0.12436309 -11.35829639]
apriltag bezier - count : 601,   delta_t : 4,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0587067   -0.12427841 -11.34914589]
apriltag bezier - count : 601,   delta_t : 5,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.06070416  -0.12438355 -11.33975887]
apriltag bezier - count : 601,   delta_t : 6,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.06557918  -0.12440742 -11.31389046]
apriltag bezier - count : 601,   delta_t : 7,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.06816357  -0.12485343 -11.29795551]
apriltag bezier - count : 601,   delta_t : 8,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.06985853  -0.12512301 -11.28708553]
apriltag bezier - count : 601,   delta_t : 9,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0706379   -0.1249617  -11.28128529]
apriltag bezier - count : 594,   delta_t : 10,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.07736714  -0.12542847 -11.22372913]
apriltag bezier - count : 594,   delta_t : 1,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0807723   -0.12698129 -11.19463921]
apriltag bezier - count : 594,   delta_t : 2,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08209267  -0.1277321  -11.1830616 ]
apriltag bezier - count : 594,   delta_t : 3,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08445067  -0.13027409 -11.16036034]
apriltag bezier - count : 594,   delta_t : 4,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0856583   -0.13173486 -11.14881706]
apriltag bezier - count : 594,   delta_t : 5,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0868149   -0.13332167 -11.13736343]
apriltag bezier - count : 594,   delta_t : 6,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08787985  -0.13521053 -11.12635517]
apriltag bezier - count : 594,   delta_t : 7,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08932137  -0.13824718 -11.11002445]
apriltag bezier - count : 594,   delta_t : 8,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0910276   -0.14227016 -11.08788776]
apriltag bezier - count : 594,   delta_t : 9,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.09171443  -0.14470068 -11.07707691]
apriltag bezier - count : 583,   delta_t : 10,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0954555   -0.15777515 -11.02144146]
apriltag bezier - count : 583,   delta_t : 1,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0962946   -0.16210662 -11.00434494]
apriltag bezier - count : 583,   delta_t : 2,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.09646919  -0.16502267 -10.99250126]
apriltag bezier - count : 583,   delta_t : 3,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.09656768  -0.16956009 -10.97513294]
apriltag bezier - count : 583,   delta_t : 4,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.09652193  -0.17417945 -10.95744038]
apriltag bezier - count : 583,   delta_t : 5,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.09593236  -0.17925584 -10.93967247]
apriltag bezier - count : 583,   delta_t : 6,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.09481571  -0.1842818  -10.92123413]
apriltag bezier - count : 575,   delta_t : 7,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.0898216   -0.20368025 -10.85316849]
apriltag bezier - count : 575,   delta_t : 1,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08748598  -0.21274796 -10.82209015]
apriltag bezier - count : 575,   delta_t : 2,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08407888  -0.2273549  -10.77258968]
apriltag bezier - count : 575,   delta_t : 3,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08250279  -0.23806709 -10.73585987]
apriltag bezier - count : 575,   delta_t : 4,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08208209  -0.2498817  -10.69231892]
apriltag bezier - count : 564,   delta_t : 5,   xf : [-0.39871055 -1.39834654  0.52298689],   vehicle_position : [  0.08754156  -0.29089275 -10.52410412]
apriltag bezier - count : 563,   delta_t : 1,   xf : [-0.12492794 -1.54473042  0.67335105],   vehicle_position : [  0.08004355  -0.3508198  -10.31444645]
apriltag bezier - count : 555,   delta_t : 1,   xf : [-0.25133276 -1.44923913  0.732342  ],   vehicle_position : [  0.06872725  -0.3920452  -10.14903831]
apriltag bezier - count : 541,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [  0.05908198  -0.41896299 -10.02661419]
apriltag bezier - count : 541,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.05623195 -0.42636946 -9.99996376]
