self.yaw: 0.271124005317688
self.home: array('f', [-1.560584545135498, -1.4816746711730957, 0.18644234538078308])
apriltag bezier - count : 403,   delta_t : 37,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98016286 -1.57547784 -9.55887413]
apriltag bezier - count : 403,   delta_t : 38,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97937393 -1.5731988  -9.54513836]
apriltag bezier - count : 403,   delta_t : 39,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97927821 -1.57123983 -9.53135014]
apriltag bezier - count : 403,   delta_t : 40,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97948873 -1.56981242 -9.52154541]
apriltag bezier - count : 403,   delta_t : 41,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.97978961 -1.56765926 -9.50689411]
apriltag bezier - count : 403,   delta_t : 42,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98000479 -1.56561565 -9.49206161]
apriltag bezier - count : 403,   delta_t : 43,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98009443 -1.56487024 -9.48684406]
apriltag bezier - count : 403,   delta_t : 44,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98050189 -1.56409323 -9.47606087]
apriltag bezier - count : 403,   delta_t : 45,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98105061 -1.56311929 -9.4598465 ]
apriltag bezier - count : 403,   delta_t : 46,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98205376 -1.56116235 -9.43146133]
apriltag bezier - count : 403,   delta_t : 47,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98219872 -1.56075656 -9.42559719]
apriltag bezier - count : 403,   delta_t : 48,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98257208 -1.55971754 -9.40794849]
apriltag bezier - count : 403,   delta_t : 49,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98304176 -1.5584718  -9.38973618]
apriltag bezier - count : 403,   delta_t : 50,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98321497 -1.55803823 -9.38365746]
apriltag bezier - count : 403,   delta_t : 51,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98325181 -1.55749881 -9.37155342]
apriltag bezier - count : 403,   delta_t : 52,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.98301756 -1.55718124 -9.35960102]
