self.yaw: 0.1422126740217209
self.home: array('f', [-4.3548712730407715, 0.6238695383071899, -6.960954189300537])
shift: [0.4949524 0.0708669 0.       ]
edge case - count_goal : 505,   delta_t_goal : 1,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81481314   0.54143053 -17.01832199]
edge case - count_goal : 505,   delta_t_goal : 2,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81470013   0.53981757 -17.01819992]
edge case - count_goal : 505,   delta_t_goal : 3,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81438065   0.53661174 -17.01833344]
edge case - count_goal : 505,   delta_t_goal : 4,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81438065   0.53661174 -17.01833344]
edge case - count_goal : 505,   delta_t_goal : 5,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81319046   0.52839166 -17.0202198 ]
edge case - count_goal : 505,   delta_t_goal : 6,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81319046   0.52839166 -17.0202198 ]
edge case - count_goal : 505,   delta_t_goal : 7,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81246281   0.52362299 -17.0211277 ]
edge case - count_goal : 505,   delta_t_goal : 8,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81115007   0.51660776 -17.02221298]
edge case - count_goal : 505,   delta_t_goal : 9,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81081915   0.51272923 -17.02245522]
edge case - count_goal : 505,   delta_t_goal : 10,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81049824   0.51040286 -17.02219009]
edge case - count_goal : 505,   delta_t_goal : 11,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81023121   0.50828797 -17.02147102]
edge case - count_goal : 505,   delta_t_goal : 12,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81011581   0.50727803 -17.0206337 ]
edge case - count_goal : 505,   delta_t_goal : 13,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.8102932    0.50464892 -17.01870155]
edge case - count_goal : 505,   delta_t_goal : 14,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81037664   0.50245321 -17.01594162]
edge case - count_goal : 505,   delta_t_goal : 15,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81037664   0.50245321 -17.01594162]
edge case - count_goal : 505,   delta_t_goal : 16,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81070948   0.50013137 -17.00912666]
edge case - count_goal : 505,   delta_t_goal : 17,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.810781     0.49966541 -17.00714874]
edge case - count_goal : 505,   delta_t_goal : 18,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81085205   0.49925908 -17.00503731]
edge case - count_goal : 505,   delta_t_goal : 19,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.81021595   0.4981693  -16.99669075]
edge case - count_goal : 505,   delta_t_goal : 20,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.8099885    0.49785691 -16.99147415]
edge case - count_goal : 505,   delta_t_goal : 21,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.80953264   0.49772263 -16.98339462]
edge case - count_goal : 505,   delta_t_goal : 22,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.80886602   0.4983474  -16.97513008]
edge case - count_goal : 505,   delta_t_goal : 23,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.80866957   0.49861968 -16.97205734]
edge case - count_goal : 505,   delta_t_goal : 24,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.808218     0.49923989 -16.96600723]
edge case - count_goal : 505,   delta_t_goal : 25,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.80767441   0.49999636 -16.9596405 ]
edge case - count_goal : 505,   delta_t_goal : 26,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.80688334   0.50139034 -16.94969177]
edge case - count_goal : 505,   delta_t_goal : 27,   xf_goal : [-3.85991887  0.69473644 -6.96095419],   vehicle_position : [ -4.80688334   0.50139034 -16.94969177]
